"id","name","content","created_at","updated_at","comments","keywords","views"
"33","","1QCNsKricls","2011-11-29 07:42:19.056882","2011-11-29 07:42:19.056882","---
- PARSEFROMHERE 0:17 Poor bird. ENDPARSEFROMHERE
- PARSEFROMHERE put on subtitles and go to 0:57 ENDPARSEFROMHERE
","---
- NASA
- Launch
- MSL
- Mars
- nasakennedy
",""
"36","","dugFyKanERk","2011-11-29 07:42:20.326079","2011-11-29 07:42:20.326079","---
- PARSEFROMHERE song at 0:13 i always hear it and i always want it! ENDPARSEFROMHERE
","---
- mindblow
- Mind
- Blow
- Vsauce
- Vsauce2
- Icicle
- Brinicle
- Death
- '30'
- Bubble
- Exodesk
- Eye
- Asteroids
- Invoked
- Computing
- Robot
- Ostrich
- fastrunner
- Jeopardy
- Rollerman
",""
"37","","FwHf3FB1xA0","2011-11-29 07:42:20.729436","2011-11-29 07:42:20.729436","---
- PARSEFROMHERE 0:04 LMAOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO ENDPARSEFROMHERE
- PARSEFROMHERE 0:04 HOMO! haha ENDPARSEFROMHERE
","---
- Barcelona Vs Getafe
- Barcelona Vs Getafe 0-1
- Barcelona 0-1 Getafe
- Barcelona
- 1-0
- Getafe
- vs
- '2011'
- 0-1
- new
- hd
- today
- messi
- Lionel Messi
- FC Barcelona
- Soccer
- Goal
- Football
- Valera
- SMENNEWS
",""
"39","","Fp6j7x1FITA","2011-11-29 07:42:21.578624","2011-11-29 07:42:21.578624","---
- PARSEFROMHERE 1:26 ultimate derp face ENDPARSEFROMHERE
- ! ""PARSEFROMHERE Justin Bieber's penis is the size ofï the dislike bar. In\uFEFF
  Soviet Russia, Penis Likes you. Chuck Norris is somehow related to this incident.
  Rebecca Black sucks. Thumbs up if *insert obvious bullshit here*. My parents thought
  I was\uFEFF watching porn.  press 1 2 3 4 5\uFEFF 6 7 8 or 9 and thumbs up. free
  replay button 0:00 I hate ads and I'm thankful that porno doesn't have them. I pee
  in the side of the bowl\uFEFF to make less noise There now you only have\uFEFF to
  read one comment\n ENDPARSEFROMHERE""
- PARSEFROMHERE 0:58-1:00  that's what she said ENDPARSEFROMHERE
","---
- battlefield
- earth
- wickerman
- wicker
- man
- nicholas
- cage
- nick
- anthony
- padilla
- ian
- hecox
- lunchtime
- lunch
- time
- day
- in
- life
- documentary
- finding
- twitter
- questions
- restaurant
- fast
- food
- bar
- grill
- vlog
- video
- blog
- how
- to
- cook
- bake
- microwave
- fry
- diet
- smosh
- pit
- smoshpit
",""
"40","","bfZYcTMhlBc","2011-11-29 07:42:21.996581","2011-11-29 07:42:21.996581","---
- PARSEFROMHERE she's too cute when she tried to make a 'rock and roll' hand gesture  2:02
  ENDPARSEFROMHERE
","---
- Sophia
- Grace
- and
- Rosie
- Brownlee
",""
"41","","xzoCXpxXuYg","2011-11-29 07:42:22.400284","2011-11-29 07:42:22.400284","---
- PARSEFROMHERE 2:30 trolololololo ENDPARSEFROMHERE
- PARSEFROMHERE lol Brook says ""Trololololo""^^ 2:34 ENDPARSEFROMHERE
- PARSEFROMHERE pause at 6:03 ....chopper so cuteeee :) :) ENDPARSEFROMHERE
","---
- one
- piece
- '525'
- english
- sub
- kyudaimexonepiece
- Kyudaimex
",""
"42","","YCdFFFAxLz0","2011-11-29 07:42:22.834049","2011-11-29 07:42:22.834049","---
- PARSEFROMHERE 0:43 excuse me little boy that's my ball ENDPARSEFROMHERE
- PARSEFROMHERE DID he just oush that ref 0:23  ENDPARSEFROMHERE
","---
- Aaron
- Dobson
- spectacular
- catch
- marshall
- univesrity
- football
- Herd
- Fan
- '2005'
",""
"43","","wSzXAw_9kCk","2011-11-29 07:42:23.252161","2011-11-29 07:42:23.252161","---
- ! ""PARSEFROMHERE December 24 at 8:00 in the morning a\uFEFF young 14 year old boy
  by the name of Scott Johnson was found dead. Doctors couldn't come up with\uFEFF
  the cause of his death. His mother checked his emails to see if she could figure
  out what happened. Turns out he was still signed into myspace. She found he had
  gone to sleep after he read and didn't repost a chain letter. If you don't repost
  this to six other videos a girl with no face will kill you\uFEFF tonight. Sorry
  don't want to die. ENDPARSEFROMHERE""
- PARSEFROMHERE At 0:40 Sofia looks amazing.  The whole video is hilarious, love them
  both.  ENDPARSEFROMHERE
- PARSEFROMHERE I love Sofia's face at 4:00 ENDPARSEFROMHERE
","---
- ellen degeneres
- covergirl
- covergirl makeup
- covergirls
- commerical
- sofia vergara
- The
- Ellen
- Show
- theellenshow
- fun
- funny
- hilarious
- hysterical
- season
- nine
- daytime
- talkshow
- degeneres
- comedy
- laugh
- humor
- The Ellen degeneres Show
- Humour
- Joke
- Television Show
- accent
",""
"45","","X0m4yI5aHZo","2011-11-29 07:42:24.069018","2011-11-29 07:42:24.069018","---
- ! ""PARSEFROMHERE it is done @ 0:01\n ENDPARSEFROMHERE""
- PARSEFROMHERE 0:01 to 0:02 it's done now ENDPARSEFROMHERE
","---
- go
- bwaaah
- annoying
- orange
- daneboe
- crash
- dog
- puppy
- girl
- leash
- motorcycle
- grandpa
- lemon
- wheelie
- Bike
- Eating
- Family
- Banana
- Dogs
- Funny
- realannoyingorange
",""
"51","","ndVVrZqHqA8","2011-11-29 07:50:03.973983","2011-11-29 07:50:03.973983","---
- PARSEFROMHERE 0:00 ENDPARSEFROMHERE
- PARSEFROMHERE SKIP AD 0:00 ENDPARSEFROMHERE
- ! 'PARSEFROMHERE 1.0.0 server, factions, economy, pvp.

  functioning markets, lvling system.

  96.252.158.179:25565 ENDPARSEFROMHERE'
","---
- Better than wolves
- mod
- spotlight
- yogscast
- hopefully
- in
- the
- yogbox
- shadow of israphel
- will
- resume
- 'on'
- friday
- Blue
- Xephos
",""
"52","","q9oG7IK8JHo","2011-11-29 07:50:04.501666","2011-11-29 07:50:04.501666","---
- PARSEFROMHERE 25:49 retard running around with bayonet.  ENDPARSEFROMHERE
","---
- Gears
- of
- War
- ! '3:'
- The
- Road
- to
- Anthony
- Benjamin
- Clatyon
- Carmine
- Episode
- One
- Third
- Person
- Shooter
- TPS
- Locust
- Horde
- Beast
- Versus
- Mode
- ssoh
- ssohpkc
- sso
- HPKC
",""
"53","","cD9WYm1uoBc","2011-11-29 07:50:04.893744","2011-11-29 07:50:04.893744","---
- PARSEFROMHERE 2:30 in hindsight could you have just jumped and at the last second
  used the sailcloth lol? ENDPARSEFROMHERE
- PARSEFROMHERE I'm pretty sure that the bug from 6:28 is one of the collectibles  ENDPARSEFROMHERE
","---
- Walkthrough
- The
- Legend
- of
- Zelda
- Skyward
- Sword
- Trailer
- Medley
- official
- gameplay
- playthrough
- lets
- play
- high
- definition
- HD
- Let's
- Part
- Chapter
- Act
- Review
- Boss
- Commentary
- game
- machinima
- videogame
- video
- Nintendo
- wii
- ds
- dsi
- nes
- classic
- snes
- super
- gamecube
- '64'
- wind
- waker
- link
- gameboy
- advance
- sp
- twilight
- princess
- to
- past
- video game
- UPC
- '400010150540'
- Lets Play
- High-definition Television
- Legend Zelda
- The Legend Of Zelda
- Quality
- EAD
- tetraninja
",""
"54","","A4cPKPhkxi0","2011-11-29 07:50:05.326609","2011-11-29 07:50:05.326609","---
- PARSEFROMHERE 3:50.... HAX ENDPARSEFROMHERE
- PARSEFROMHERE That comment is directed to geoff for the thing at 3:50. I thought
  I typed Geoff but... ENDPARSEFROMHERE
","---
- Achievement
- Hunter
- Horse
- Halo
- Reach
- Bungie
- Microsoft
- Geoff
- is
- major
- jerkbag
- Rooster
- Teeth
",""
"57","","GI6CfKcMhjY","2011-11-29 07:50:06.669431","2011-11-29 07:50:06.669431","---
- ! ""PARSEFROMHERE 2:15 i swear he looks like ed helms\n ENDPARSEFROMHERE""
- PARSEFROMHERE 0:57 for the best part!!! ENDPARSEFROMHERE
- ! ""PARSEFROMHERE 1:07 = best part of the song\n ENDPARSEFROMHERE""
","---
- Impossibly
- handsome
- hogdawgz
- and
- Michael
- Bolton
- thelonelyisland
",""
"58","","AAcTs0bZSbE","2011-11-29 07:50:07.104573","2011-11-29 07:50:07.104573","---
- PARSEFROMHERE the mineshaft is at 2:18 ENDPARSEFROMHERE
- ! ""PARSEFROMHERE lolz 5:33 super fail\n ENDPARSEFROMHERE""
- ! ""PARSEFROMHERE 8:00\n ENDPARSEFROMHERE""
- PARSEFROMHERE 05:05 That's what my parents said.... ENDPARSEFROMHERE
","---
- minecraft
- day
- first
- playthrough
- part
- intro
- cinematic
- pc
- machinima
- gameplay
- commentary
- normal
- difficulty
- lets
- play
- let
- toby
- turner
- tobuscus
- notch
- pig
- sheep
- zombie
- cow
- skeleton
- chicken
- spider
- yt
- quality
- high
- game
- gamer
- gaming
- video
- games
- sucks
- mojang
- PS3
- Xbox
- '360'
- Xbox360
- Live
",""
"59","","HBAboIBJN8k","2011-11-29 07:50:07.519647","2011-11-29 07:50:07.519647","---
- PARSEFROMHERE 13:53 top-center... Beware of the Derp-wolf. ENDPARSEFROMHERE
","---
- Two
- Best
- Friends
- Play
- Cabela's
- Survival
- Shadows
- of
- Katmai
- Modern
- Warfare
- Halo
- Hunting
- Dangerous
- Hunts
- Alaska
- Bears
- wolves
- yt:quality=high
- machinima
- how
- to
- Top
- Shot
- Elite
- controller
- light
- gun
- sport
- sporting
- Activision
- playstation
- sony
- ps3
- exclusive
- move
",""
"60","","ndcd2V3vkv8","2011-11-29 07:50:07.934777","2011-11-29 07:50:07.934777","---
- PARSEFROMHERE 6:07 ""Oh, the moon!"" lmfao!  ENDPARSEFROMHERE
- PARSEFROMHERE 27:25 ""Can I sneak up on him...no *ZAP!*"" LOL ENDPARSEFROMHERE
","---
- Let's Play Skyrim
- Part
- Skyrim Gameplay
- skyrim Walkthrough
- The
- Elder Scrolls V
- Let's
- Play
- Skyrim
- Lets
- Elder Scrolls 5
- Walkthrough
- playthrough
- Elder
- Scrolls
- PS3
- Xbox
- '360'
- video Games
- RPG
- Bethesda
- Let's Play
- Let's Play Skyrim Part 3
- elder scrolls skyrim
- races
- Character Creation
- skyrim review
- Review
- skyrim trailer
- Ending
- Demo
- Skyrim Part 1
- Skyrim Let's Play
- ! 'The Elder Scrolls V: Skyrim'
- Bethesda Softworks
- Rydar
- Games
",""
"61","","AAPY9SIzBmk","2011-11-29 07:50:08.342877","2011-11-29 07:50:08.342877","---
- ! ""PARSEFROMHERE i swear at 1:34 where the brute sticks is more important than the
  brute jumping\uFEFF ENDPARSEFROMHERE""
- ! ""PARSEFROMHERE i swear at 1:26 where the brute sticks is more important than the
  brute jumping \n\n ENDPARSEFROMHERE""
- PARSEFROMHERE 1:09 kills himself with emping banshe ENDPARSEFROMHERE
- PARSEFROMHERE i noticed that at 1:28 that the brute in the background sticks himself
  so that's a double fail ENDPARSEFROMHERE
- PARSEFROMHERE at say 3:25 the guy said suicide if you listen closely!!! ENDPARSEFROMHERE
- PARSEFROMHERE 3:59 BOOM HEADSHOT! ENDPARSEFROMHERE
- PARSEFROMHERE press 4:26 fir 'gullible' ENDPARSEFROMHERE
- ! ""PARSEFROMHERE 1:46 did i hear \""do a barrel roll\""?\n ENDPARSEFROMHERE""
- ! ""PARSEFROMHERE 1:46 did i do a barrel roll?\n ENDPARSEFROMHERE""
","---
- Achievement
- Hunter
- Rooster
- Teeth
- Fails
- of
- the
- Weak
- Week
- Halo
- Reach
- Bungie
- Microsoft
- Screw
- Up
- Blooper
- Glitch
- Funny
",""
"62","","O6X9YTLof_I","2011-11-29 07:50:08.778328","2011-11-29 07:50:08.778328","---
- PARSEFROMHERE 07:30 He not resisting, he's a board member in the Ministry of Silly
  Walks. ENDPARSEFROMHERE
- PARSEFROMHERE 16:20 lie and the distributer identified  ENDPARSEFROMHERE
- PARSEFROMHERE Pause at 6:59 and laugh. ENDPARSEFROMHERE
","---
- LA noire
- LA
- noire
- crimefighting
- hannah
- plays
- yogscast
- lewis
- simon
- xephos
- honeydew
",""
"63","","8fxK48Cey0Y","2011-11-29 07:50:09.194068","2011-11-29 07:50:09.194068","---
- PARSEFROMHERE Jack, that's a banshe at 2:45 ENDPARSEFROMHERE
- ! 'PARSEFROMHERE 2:05

  I must go now. My people. They need me ENDPARSEFROMHERE'
- ! 'PARSEFROMHERE best part:  2:14 ENDPARSEFROMHERE'
- PARSEFROMHERE 2:32 this is why i use a jetpack  :/ ENDPARSEFROMHERE
","---
- Achievement
- Hunter
- Fails
- of
- the
- Weak
- Week
- Weekly
- Volume
- '20'
- Halo
- Reach
- Bungie
- Microsoft
- Master
- Chief
- Funny
- Screw
- Up
- Blooper
- Rooster
- Teeth
",""
"64","","c8FtknPdV-Q","2011-11-29 07:50:09.616196","2011-11-29 07:50:09.616196","---
- PARSEFROMHERE 9:58 LIKE A BOSS. ENDPARSEFROMHERE
","---
- Assassin's Creed Revelations
- Playthrough
- Gameplay
- Assassin's
- Creed
- Revelations
- Brotherhood
- Part
- Xbox 360
- Xbox
- '360'
- Playstation
- PS3
- Playstation 3
- Next
- Gen
- Walkthroughs
",""
"66","","9YHHr_Mow08","2011-11-29 07:50:10.450064","2011-11-29 07:50:10.450064","---
- PARSEFROMHERE I facepalmed at 6:38 when he was going to make a compass and it was
  in his chest......... ENDPARSEFROMHERE
","---
- minecraft
- day
- first
- playthrough
- part
- intro
- cinematic
- pc
- machinima
- gameplay
- commentary
- normal
- difficulty
- lets
- play
- let
- toby
- turner
- tobuscus
- notch
- pig
- sheep
- zombie
- cow
- skeleton
- chicken
- spider
- yt
- quality
- high
- game
- gamer
- gaming
- video
- games
- sucks
- mojang
- PS3
- Xbox
- '360'
- Xbox360
- Live
",""
"68","","ud4YnLT1vWk","2011-11-29 07:50:11.280818","2011-11-29 07:50:11.280818","---
- PARSEFROMHERE Grandpa Lemon in 0:00 DOWN ENDPARSEFROMHERE
- PARSEFROMHERE Thumbs up if you saw grandpa Lemon asleep when he was apart of the
  FrankenFruit!! 2:57 ENDPARSEFROMHERE
- PARSEFROMHERE 2:40 is that cucumber???? ENDPARSEFROMHERE
- PARSEFROMHERE 1:00 I think carrot saw the line in the bathroom haha! ENDPARSEFROMHERE
","---
- annoying
- orange
- halloween
- frankenfruit
- frankenstein
- dracula
- monster
- vampire
- werewolf
- pear
- daneboe
- gagfilms
- midget
- little
- apple
- grapefruit
- grandpa
- lemon
- muscles
- flexing
- crazy
- animation
- funny
- silly
- weird
- realannoyingorange
",""
"69","","ZbeoRK9r07Y","2011-11-29 07:50:11.690099","2011-11-29 07:50:11.690099","---
- PARSEFROMHERE at 2:07 something makes a sound that sounds like ""hey"" and all I could
  think was NO DEAR GOD NO ENDPARSEFROMHERE
- PARSEFROMHERE XD 7:40 ENDPARSEFROMHERE
","---
- Walkthrough
- The
- Legend
- of
- Zelda
- Skyward
- Sword
- Trailer
- Medley
- official
- gameplay
- playthrough
- lets
- play
- high
- definition
- HD
- Let's
- Part
- Chapter
- Act
- Review
- Boss
- Commentary
- game
- machinima
- videogame
- video
- Nintendo
- wii
- ds
- dsi
- nes
- classic
- snes
- super
- gamecube
- '64'
- wind
- waker
- link
- gameboy
- advance
- sp
- twilight
- princess
- to
- past
- video game
- UPC
- '400010150540'
- Lets Play
- High-definition Television
- Legend Zelda
- The Legend Of Zelda
- Quality
- EAD
- tetraninja
",""
"70","","cDj2f4ouQxw","2011-11-29 07:50:12.121772","2011-11-29 07:50:12.121772","---
- PARSEFROMHERE 14:27 falcon punch! ENDPARSEFROMHERE
- PARSEFROMHERE halelua sounds like buu from dragon ball at 04:49 :) ENDPARSEFROMHERE
- PARSEFROMHERE omg i saw nightmares from code geass at 22:02?????? ENDPARSEFROMHERE
","---
- bandainamcoholdings
- bandainamco
- Namco
- Bandai
- Japan
- Toy
- Anime
- Gundam
- powerranger
- kamenrider
- BEN10
- Pokemon
- Sunrise
- '00'
- oo
- Channel
",""
"73","","4HQ10INKJBw","2011-11-29 07:50:13.561576","2011-11-29 07:50:13.561576","---
- PARSEFROMHERE 17:51 original ENDPARSEFROMHERE
- PARSEFROMHERE 17:57 shake that zombie booty!!!! ENDPARSEFROMHERE
- PARSEFROMHERE 20:04 when they up the stairs and say ""WTF?? "" jaja LOL ENDPARSEFROMHERE
","---
- Dead
- Island
- Walkthrough
- Dead Island Walkthrough
- Dead Island
- Deep Silver Game
- Techland Game
- New Zombie Game
- Lets Play
- Lets Play Dead Island
- Lets
- Play
- Let's play Dead Island
- Dead Island Commentary
- Commentary
- Dead Island Playthrough
- Playthrough
- Dead Island Gameplay
- Gameplay
- Part 47
- The
- Media
- Cows
",""
"74","","V6yRrquBUiY","2011-11-29 07:50:14.000210","2011-11-29 07:50:14.000210","---
- ! ""PARSEFROMHERE at 3:10 if you turn on captions it says Why would you theow the
  senate... :P\n ENDPARSEFROMHERE""
","---
- Achievement
- Hunter
- Weekly
- Update
- Jack
- Geoff
- AHWU
- Video
- Games
- Xbox
- Playstation
- Xbox360
- PS3
- Heavy
- Rain
- Borderlands
- ipad
- Mass
- Effect
- Slap
- Burnie
- Joel
- Matt
- Geometry
- Wars
- Plants
- vs
- Zombies
- Rooster
- Teeth
",""
"76","","JppdpxbC75A","2011-11-29 07:50:14.941967","2011-11-29 07:50:14.941967","---
- PARSEFROMHERE tower defense ends at 6:14 ENDPARSEFROMHERE
","---
- Assassins
- Creed
- Revelations
- Assassins Creed Revelations
- Assassin's
- Walkthrough
- Gameplay
- Sequence 5
- Part 25
- Part
- '25'
- Playthrough
- Let's
- Play
- Trailer
- Literal
- Official
- Ubisoft
- Ezio
- The
- Media
- Cows
",""
"78","","53WfGgiFbEs","2011-11-29 07:50:15.876673","2011-11-29 07:50:15.876673","---
- PARSEFROMHERE 4:20 HAHA you can't hit mee.... oh maybe you can XD ENDPARSEFROMHERE
- PARSEFROMHERE 13:37 :D ENDPARSEFROMHERE
- PARSEFROMHERE 13:37 :3 ENDPARSEFROMHERE
","---
- Dead
- Island
- Walkthrough
- Dead Island Walkthrough
- Dead Island
- Deep Silver Game
- Techland Game
- New Zombie Game
- Lets Play
- Lets Play Dead Island
- Lets
- Play
- Let's play Dead Island
- Dead Island Commentary
- Commentary
- Dead Island Playthrough
- Playthrough
- Dead Island Gameplay
- Gameplay
- Part 46
- The
- Media
- Cows
",""
"79","","YjpxqZirqaY","2011-11-29 07:50:16.294489","2011-11-29 07:50:16.294489","---
- PARSEFROMHERE lol 11:28 ""banning omzit"" ENDPARSEFROMHERE
","---
- minecraft
- omfgcata
- rpg
- maker
- video game
- online
- gaming
- video
- game
- playthrough
- commentary
- gameplay
- games
- computer
",""
