name,content,comments,keywords
,q9oG7IK8JHo,"---
- PARSEFROMHERE 25:49 retard running around with bayonet.  ENDPARSEFROMHERE
","---
- Gears
- of
- War
- ! '3:'
- The
- Road
- to
- Anthony
- Benjamin
- Clatyon
- Carmine
- Episode
- One
- Third
- Person
- Shooter
- TPS
- Locust
- Horde
- Beast
- Versus
- Mode
- ssoh
- ssohpkc
- sso
- HPKC
"
,cD9WYm1uoBc,"---
- PARSEFROMHERE 2:30 in hindsight could you have just jumped and at the last second
  used the sailcloth lol? ENDPARSEFROMHERE
- PARSEFROMHERE I'm pretty sure that the bug from 6:28 is one of the collectibles  ENDPARSEFROMHERE
","---
- Walkthrough
- The
- Legend
- of
- Zelda
- Skyward
- Sword
- Trailer
- Medley
- official
- gameplay
- playthrough
- lets
- play
- high
- definition
- HD
- Let's
- Part
- Chapter
- Act
- Review
- Boss
- Commentary
- game
- machinima
- videogame
- video
- Nintendo
- wii
- ds
- dsi
- nes
- classic
- snes
- super
- gamecube
- '64'
- wind
- waker
- link
- gameboy
- advance
- sp
- twilight
- princess
- to
- past
- video game
- UPC
- '400010150540'
- Lets Play
- High-definition Television
- Legend Zelda
- The Legend Of Zelda
- Quality
- EAD
- tetraninja
"
,A4cPKPhkxi0,"---
- PARSEFROMHERE 3:50.... HAX ENDPARSEFROMHERE
- PARSEFROMHERE That comment is directed to geoff for the thing at 3:50. I thought
  I typed Geoff but... ENDPARSEFROMHERE
","---
- Achievement
- Hunter
- Horse
- Halo
- Reach
- Bungie
- Microsoft
- Geoff
- is
- major
- jerkbag
- Rooster
- Teeth
"
,GI6CfKcMhjY,"---
- ! ""PARSEFROMHERE 2:15 i swear he looks like ed helms\n ENDPARSEFROMHERE""
- PARSEFROMHERE 0:57 for the best part!!! ENDPARSEFROMHERE
- ! ""PARSEFROMHERE 1:07 = best part of the song\n ENDPARSEFROMHERE""
","---
- Impossibly
- handsome
- hogdawgz
- and
- Michael
- Bolton
- thelonelyisland
"
,AAcTs0bZSbE,"---
- PARSEFROMHERE the mineshaft is at 2:18 ENDPARSEFROMHERE
- ! ""PARSEFROMHERE lolz 5:33 super fail\n ENDPARSEFROMHERE""
- ! ""PARSEFROMHERE 8:00\n ENDPARSEFROMHERE""
- PARSEFROMHERE 05:05 That's what my parents said.... ENDPARSEFROMHERE
","---
- minecraft
- day
- first
- playthrough
- part
- intro
- cinematic
- pc
- machinima
- gameplay
- commentary
- normal
- difficulty
- lets
- play
- let
- toby
- turner
- tobuscus
- notch
- pig
- sheep
- zombie
- cow
- skeleton
- chicken
- spider
- yt
- quality
- high
- game
- gamer
- gaming
- video
- games
- sucks
- mojang
- PS3
- Xbox
- '360'
- Xbox360
- Live
"
,HBAboIBJN8k,"---
- PARSEFROMHERE 13:53 top-center... Beware of the Derp-wolf. ENDPARSEFROMHERE
","---
- Two
- Best
- Friends
- Play
- Cabela's
- Survival
- Shadows
- of
- Katmai
- Modern
- Warfare
- Halo
- Hunting
- Dangerous
- Hunts
- Alaska
- Bears
- wolves
- yt:quality=high
- machinima
- how
- to
- Top
- Shot
- Elite
- controller
- light
- gun
- sport
- sporting
- Activision
- playstation
- sony
- ps3
- exclusive
- move
"
,ndcd2V3vkv8,"---
- PARSEFROMHERE 6:07 ""Oh, the moon!"" lmfao!  ENDPARSEFROMHERE
- PARSEFROMHERE 27:25 ""Can I sneak up on him...no *ZAP!*"" LOL ENDPARSEFROMHERE
","---
- Let's Play Skyrim
- Part
- Skyrim Gameplay
- skyrim Walkthrough
- The
- Elder Scrolls V
- Let's
- Play
- Skyrim
- Lets
- Elder Scrolls 5
- Walkthrough
- playthrough
- Elder
- Scrolls
- PS3
- Xbox
- '360'
- video Games
- RPG
- Bethesda
- Let's Play
- Let's Play Skyrim Part 3
- elder scrolls skyrim
- races
- Character Creation
- skyrim review
- Review
- skyrim trailer
- Ending
- Demo
- Skyrim Part 1
- Skyrim Let's Play
- ! 'The Elder Scrolls V: Skyrim'
- Bethesda Softworks
- Rydar
- Games
"
,AAPY9SIzBmk,"---
- ! ""PARSEFROMHERE i swear at 1:34 where the brute sticks is more important than the
  brute jumping\uFEFF ENDPARSEFROMHERE""
- ! ""PARSEFROMHERE i swear at 1:26 where the brute sticks is more important than the
  brute jumping \n\n ENDPARSEFROMHERE""
- PARSEFROMHERE 1:09 kills himself with emping banshe ENDPARSEFROMHERE
- PARSEFROMHERE i noticed that at 1:28 that the brute in the background sticks himself
  so that's a double fail ENDPARSEFROMHERE
- PARSEFROMHERE at say 3:25 the guy said suicide if you listen closely!!! ENDPARSEFROMHERE
- PARSEFROMHERE 3:59 BOOM HEADSHOT! ENDPARSEFROMHERE
- PARSEFROMHERE press 4:26 fir 'gullible' ENDPARSEFROMHERE
- ! ""PARSEFROMHERE 1:46 did i hear \""do a barrel roll\""?\n ENDPARSEFROMHERE""
- ! ""PARSEFROMHERE 1:46 did i do a barrel roll?\n ENDPARSEFROMHERE""
","---
- Achievement
- Hunter
- Rooster
- Teeth
- Fails
- of
- the
- Weak
- Week
- Halo
- Reach
- Bungie
- Microsoft
- Screw
- Up
- Blooper
- Glitch
- Funny
"
,O6X9YTLof_I,"---
- PARSEFROMHERE 07:30 He not resisting, he's a board member in the Ministry of Silly
  Walks. ENDPARSEFROMHERE
- PARSEFROMHERE 16:20 lie and the distributer identified  ENDPARSEFROMHERE
- PARSEFROMHERE Pause at 6:59 and laugh. ENDPARSEFROMHERE
","---
- LA noire
- LA
- noire
- crimefighting
- hannah
- plays
- yogscast
- lewis
- simon
- xephos
- honeydew
"
,8fxK48Cey0Y,"---
- PARSEFROMHERE Jack, that's a banshe at 2:45 ENDPARSEFROMHERE
- ! 'PARSEFROMHERE 2:05

  I must go now. My people. They need me ENDPARSEFROMHERE'
- ! 'PARSEFROMHERE best part:  2:14 ENDPARSEFROMHERE'
- PARSEFROMHERE 2:32 this is why i use a jetpack  :/ ENDPARSEFROMHERE
","---
- Achievement
- Hunter
- Fails
- of
- the
- Weak
- Week
- Weekly
- Volume
- '20'
- Halo
- Reach
- Bungie
- Microsoft
- Master
- Chief
- Funny
- Screw
- Up
- Blooper
- Rooster
- Teeth
"
,c8FtknPdV-Q,"---
- PARSEFROMHERE 9:58 LIKE A BOSS. ENDPARSEFROMHERE
","---
- Assassin's Creed Revelations
- Playthrough
- Gameplay
- Assassin's
- Creed
- Revelations
- Brotherhood
- Part
- Xbox 360
- Xbox
- '360'
- Playstation
- PS3
- Playstation 3
- Next
- Gen
- Walkthroughs
"
,9YHHr_Mow08,"---
- PARSEFROMHERE I facepalmed at 6:38 when he was going to make a compass and it was
  in his chest......... ENDPARSEFROMHERE
","---
- minecraft
- day
- first
- playthrough
- part
- intro
- cinematic
- pc
- machinima
- gameplay
- commentary
- normal
- difficulty
- lets
- play
- let
- toby
- turner
- tobuscus
- notch
- pig
- sheep
- zombie
- cow
- skeleton
- chicken
- spider
- yt
- quality
- high
- game
- gamer
- gaming
- video
- games
- sucks
- mojang
- PS3
- Xbox
- '360'
- Xbox360
- Live
"
,ud4YnLT1vWk,"---
- PARSEFROMHERE Grandpa Lemon in 0:00 DOWN ENDPARSEFROMHERE
- PARSEFROMHERE Thumbs up if you saw grandpa Lemon asleep when he was apart of the
  FrankenFruit!! 2:57 ENDPARSEFROMHERE
- PARSEFROMHERE 2:40 is that cucumber???? ENDPARSEFROMHERE
- PARSEFROMHERE 1:00 I think carrot saw the line in the bathroom haha! ENDPARSEFROMHERE
","---
- annoying
- orange
- halloween
- frankenfruit
- frankenstein
- dracula
- monster
- vampire
- werewolf
- pear
- daneboe
- gagfilms
- midget
- little
- apple
- grapefruit
- grandpa
- lemon
- muscles
- flexing
- crazy
- animation
- funny
- silly
- weird
- realannoyingorange
"
,ZbeoRK9r07Y,"---
- PARSEFROMHERE at 2:07 something makes a sound that sounds like ""hey"" and all I could
  think was NO DEAR GOD NO ENDPARSEFROMHERE
- PARSEFROMHERE XD 7:40 ENDPARSEFROMHERE
","---
- Walkthrough
- The
- Legend
- of
- Zelda
- Skyward
- Sword
- Trailer
- Medley
- official
- gameplay
- playthrough
- lets
- play
- high
- definition
- HD
- Let's
- Part
- Chapter
- Act
- Review
- Boss
- Commentary
- game
- machinima
- videogame
- video
- Nintendo
- wii
- ds
- dsi
- nes
- classic
- snes
- super
- gamecube
- '64'
- wind
- waker
- link
- gameboy
- advance
- sp
- twilight
- princess
- to
- past
- video game
- UPC
- '400010150540'
- Lets Play
- High-definition Television
- Legend Zelda
- The Legend Of Zelda
- Quality
- EAD
- tetraninja
"
,cDj2f4ouQxw,"---
- PARSEFROMHERE 14:27 falcon punch! ENDPARSEFROMHERE
- PARSEFROMHERE halelua sounds like buu from dragon ball at 04:49 :) ENDPARSEFROMHERE
- PARSEFROMHERE omg i saw nightmares from code geass at 22:02?????? ENDPARSEFROMHERE
","---
- bandainamcoholdings
- bandainamco
- Namco
- Bandai
- Japan
- Toy
- Anime
- Gundam
- powerranger
- kamenrider
- BEN10
- Pokemon
- Sunrise
- '00'
- oo
- Channel
"
,4HQ10INKJBw,"---
- PARSEFROMHERE 17:51 original ENDPARSEFROMHERE
- PARSEFROMHERE 17:57 shake that zombie booty!!!! ENDPARSEFROMHERE
- PARSEFROMHERE 20:04 when they up the stairs and say ""WTF?? "" jaja LOL ENDPARSEFROMHERE
","---
- Dead
- Island
- Walkthrough
- Dead Island Walkthrough
- Dead Island
- Deep Silver Game
- Techland Game
- New Zombie Game
- Lets Play
- Lets Play Dead Island
- Lets
- Play
- Let's play Dead Island
- Dead Island Commentary
- Commentary
- Dead Island Playthrough
- Playthrough
- Dead Island Gameplay
- Gameplay
- Part 47
- The
- Media
- Cows
"
,V6yRrquBUiY,"---
- ! ""PARSEFROMHERE at 3:10 if you turn on captions it says Why would you theow the
  senate... :P\n ENDPARSEFROMHERE""
","---
- Achievement
- Hunter
- Weekly
- Update
- Jack
- Geoff
- AHWU
- Video
- Games
- Xbox
- Playstation
- Xbox360
- PS3
- Heavy
- Rain
- Borderlands
- ipad
- Mass
- Effect
- Slap
- Burnie
- Joel
- Matt
- Geometry
- Wars
- Plants
- vs
- Zombies
- Rooster
- Teeth
"
,JppdpxbC75A,"---
- PARSEFROMHERE tower defense ends at 6:14 ENDPARSEFROMHERE
","---
- Assassins
- Creed
- Revelations
- Assassins Creed Revelations
- Assassin's
- Walkthrough
- Gameplay
- Sequence 5
- Part 25
- Part
- '25'
- Playthrough
- Let's
- Play
- Trailer
- Literal
- Official
- Ubisoft
- Ezio
- The
- Media
- Cows
"
,53WfGgiFbEs,"---
- PARSEFROMHERE 4:20 HAHA you can't hit mee.... oh maybe you can XD ENDPARSEFROMHERE
- PARSEFROMHERE 13:37 :D ENDPARSEFROMHERE
- PARSEFROMHERE 13:37 :3 ENDPARSEFROMHERE
","---
- Dead
- Island
- Walkthrough
- Dead Island Walkthrough
- Dead Island
- Deep Silver Game
- Techland Game
- New Zombie Game
- Lets Play
- Lets Play Dead Island
- Lets
- Play
- Let's play Dead Island
- Dead Island Commentary
- Commentary
- Dead Island Playthrough
- Playthrough
- Dead Island Gameplay
- Gameplay
- Part 46
- The
- Media
- Cows
"
,YjpxqZirqaY,"---
- PARSEFROMHERE lol 11:28 ""banning omzit"" ENDPARSEFROMHERE
","---
- minecraft
- omfgcata
- rpg
- maker
- video game
- online
- gaming
- video
- game
- playthrough
- commentary
- gameplay
- games
- computer
"
,2XOxXXTRDyA,"---
- ! 'PARSEFROMHERE The woman''s feelings at 42:00 is exactly what I felt when I shaved
  my head this Jan. I find it appalling that someone''s spiritual''s journey is abused
  for profit by despicable individuals...DISGUSTING!

  Funny thing is that the bald woman is a billion times more beautiful than any of
  the other fake westernized women in this video ENDPARSEFROMHERE'
- PARSEFROMHERE 22:33... bitches, wats the golden temple doing in the documentary??
  sikhs don't cut hair idiots!! get your facts right and stop making emotional fools
  of people!! ENDPARSEFROMHERE
","---
- Al Jazeera
- aljazeera
- witnessprog
- witness
- Hair India
- Raffaele Brunetti
- Marco Leopardi
- India
- beauty
- Vishnu
- India society
- Mumbai
- hair extension
- pilgrims
- Great Lengths
- donation
- Hindu temples
- Al
- Jazeera
- English
"
,x-W44YcsXMs,"---
- PARSEFROMHERE missed the rock 11:15 ENDPARSEFROMHERE
","---
- sea
- fishing
- shore
- match
- European Open
- Bridlington
- Sea Watch UK
- Online
- TV
"
,2XLzyoco9Ts,"---
- PARSEFROMHERE 3:24  He is the Most interesting man in the world I don't always drink
  beer but wen I do I prefer Dos Equis Stay Thirsty My Friends. ENDPARSEFROMHERE
- PARSEFROMHERE 4:21 Prince of Persia, anyone? ENDPARSEFROMHERE
","---
- Assassins
- Creed
- Revelations
- Trailer
- Launch
- gameplay
- official
- machinima
- video
- game
- gaming
- ubisoft
- xbox
- '360'
- microsoft
- ps3
- sony
- playstation
- playthrough
- lets
- play
- walkthrough
- high
- definition
- Let's
- Part
- Chapter
- Act
- Review
- Boss
- Commentary
- hd
- UPC
- '008888526841'
- '008888576846'
- '008888356844'
- '8888346845'
- Video Game
- Xbox 360
- Playthrough Part
- Games
- tetraninja
"
,oVZSAfCJsys,"---
- PARSEFROMHERE 15:31 Euphie smack! xD ENDPARSEFROMHERE
- PARSEFROMHERE 10:49 STALKERS! ENDPARSEFROMHERE
- PARSEFROMHERE haha Suzaku looks like a badass in those sunglasses and that frown
  of his at 10:59 ENDPARSEFROMHERE
- PARSEFROMHERE 16:45- Code Geass begins.... ENDPARSEFROMHERE
- PARSEFROMHERE GO EUPHIE 15:33 ENDPARSEFROMHERE
","---
- Bandai
- Entertainment
"
,H5a1js8FzsA,"---
- PARSEFROMHERE lol funny short story 4:26 ENDPARSEFROMHERE
- PARSEFROMHERE 0:25 sexy girl ENDPARSEFROMHERE
","---
- fakecorpse
- deadbody
- halloween
- specialeffects
- props
- halloweencostume
- tutorial
- howto
- backyardfx
- bfx
- indymogul
- nextnewnetworks
- erikbeck
"
,qFhEkLsEcjY,"---
- PARSEFROMHERE @TheEthan1005 at 12:51 ENDPARSEFROMHERE
- ! ""PARSEFROMHERE 6:58 Haro: You struck out , you struck out\"" xD\n ENDPARSEFROMHERE""
","---
- bandainamcoholdings
- bandainamco
- Namco
- Bandai
- Japan
- Toy
- Anime
- Gundam
- powerranger
- kamenrider
- BEN10
- Pokemon
- Sunrise
- '00'
- oo
- UC
- unicorn
- Channel
"
,j81g34-bvNI,"---
- ! ""PARSEFROMHERE a smile leads to a laugh\uFEFF a laugh leads to a high 5 a high
  5\uFEFF leads to a hug a hug leads to\uFEFF a kiss a kiss leads 2\uFEFF a\uFEFF
  finger a finger leads to a hand a\uFEFF hand leads to a lick\uFEFF a lick leads
  to a suck a suck\uFEFF\uFEFF leads 2 a fuck.right after u\uFEFF read it, something
  good will happen at 2:25 tomorrow. Get ready\uFEFF for the biggest shock in your
  life!! Whoever breaks this chain will be cursed w/ relationship problems 4-10 years.
  If you post this on 5 vids in 15 mins,\uFEFF your\uFEFF safe ENDPARSEFROMHERE""
","---
- Dexter
- Michael
- C.
- Hall
- Dark
- Echo
- Early
- Cuts
- Harry
- Webisode
- animation
- Bill
- Sienkiewicz
- SHOWTIME
"
